id,text,timestamp,decoration,citation,
1,,,,,
2,,,,,
3,constellation of dark matter,8/7/2016,,,
4,a nightflowering self,8/7/2016,,,
5,,,,,
6,,,,,
7,how do i know i am not,7/8/2016,,,
8,"dark matter, i am full of it",7/8/2016,,,
9,,,,,
10,,,,,
11,i am [ sometimes / always /,7/8/2016,,,
12,hardly ever ] uncertain,7/8/2016,,,
13,,,,,
14,,,,,
15,U R G E N T E N D L E S S,6/22/2016,,,
16,this is the procedure,8/23/2016,,,
17,,,,,
18,,,,,
19,i've been transmitting,3/4/2017,,,
20,this whole time,3/2/2017,,,
21,,,,,
22,,,,,
23,today i am a houseguest on a scale,3/19/2017,,,
24,i don't know is smart,3/19/2017,,,
25,,,,,
26,,,,,
27,unintentional push notification,2/27/2017,,,
28,authorship: what [ i / you ] do to [ you / me ],3/15/2017,,,
29,,,,,
30,,,,,
31,for every action an equal and,8/23/2016,,,
32,opposite pokemon go reward,8/23/2016,,,
33,,,,,
34,,,,,
35,self both,8/22/2016,,,
36,particle and wave,8/22/2016,,,
37,,,,,
38,,,,,
39,,,,,
40,,,,,
41,,,,,
42,,,,,
43,,,,,
44,,,,,
45,unqualified scientists of selfhood,9/13/2016,,,
46,S C R O L L R I S E,6/22/2016,,,
47,,,,,
48,,,,,
49,online every crisis,8/22/2016,,,
50,is a journey,8/22/2016,,,
51,,,,,
52,,,,,
53,awake a cluster of syndromes,8/22/2016,,,
54,glucose humming search engine,8/22/2016,,,
55,,,,,
56,,,,,
57,new flat language user,5/21/2017,,,
58,experience seen in meme,5/21/2017,,,
59,,,,,
60,,,,,
61,best yoga app for,8/22/2016,,,
62,making a mess of your life,8/22/2016,,,
63,,,,,
64,,,,,
65,devices to get,7/1/2016,,,
66,through the day,7/1/2016,,,
67,,,,,
68,,,,,
69,15 ways to make it,8/22/2016,,,
70,worse than it is,8/22/2016,,,
71,,,,,
72,,,,,
73,tweetable types of doom,6/28/2016,,,
74,myspace becomes brexit becomes manbun,6/24/2016,,,
75,,,,,
76,,,,,
77,self a,5/22/2017,,,
78,syntax,5/21/2017,,,
79,,,,,
80,,,,,
81,,,,,
82,,,,,
83,,,,,
84,,,,,
85,,,,,
86,,,,,
87,C A L O R I E S I N C L I C K S O U T,9/11/2016,,,
88,cryogenic public boredom,5/21/2017,,,
89,,,,,
90,,,,,
91,is doubt a question,8/23/2016,,,
92,set to vibrate,8/23/2016,,,
93,,,,,
94,,,,,
95,today’s seance: any three users on phones,1/17/2017,,,
96,shuttle and lobby sacred with idleness,1/26/2017,,,
97,,,,,
98,,,,,
99,each person clutches a [ phone / phone /,4/4/2017,,,
100,hoagie ] gazing into it,4/4/2017,,,
101,,,,,
102,,,,,
103,bluetooth aura can’t rub flat,2/8/2017,,,
104,bubble under screencover skin,1/26/2017,,,
105,,,,,
106,,,,,
107,self a prosthesis,2/23/2017,,,
108,self a certainty,2/23/2017,,,
109,,,,,
110,,,,,
111,,,,,
112,,,,,
113,,,,,
114,,,,,
115,,,,,
116,,,,,
117,am i reassembled elsewhere [ accumulated / obscured ],2/26/2017,,,
118,E X C E S S L U M I N E S C E N T,11/15/2016,,,
119,,,,,
120,,,,,
121,resonating incomplete,4/28/2015,,,
122,a poetics gathering everything,4/20/2017,,,
123,,,,,
124,,,,,
125,immersive [ virtual / virtuous ],10/9/2016,,,
126,neverending downstream,3/4/2017,,,
127,,,,,
128,,,,,
129,silt mauves over prior posts,5/16/2017,,,
130,debris distending barbed wire,5/16/2017,,,
131,,,,,
132,,,,,
133,self a datastream,5/22/2017,,,
