id,timestamp,source,type,label,quantity,unit,notes,label-ifno
1,1/25/2015,Calendar,date,,"January 25, 2015",,,
2,2/9/2015,Calendar,date,,"February 9, 2015",,,
3,4/28/2015,Calendar,date,,"April 28, 2015",,,
4,12/6/2015,Calendar,date,,"December 6, 2015",,,
5,5/6/2016,Calendar,date,,"May 6, 2016",,,
6,5/8/2016,Calendar,date,,"May 8, 2016",,,
7,5/20/2016,Calendar,date,,"May 20, 2016",,,
8,5/18/2015,Calendar,date,,"May 18, 2015",,,
9,7/7/2015,Calendar,date,,"July 7, 2015",,,
10,7/8/2015,Calendar,date,,"July 8, 2015",,,
11,7/9/2015,Calendar,date,,"July 9, 2015",,,
12,7/10/2015,Calendar,date,,"July 10, 2015",,,
13,7/11/2015,Calendar,date,,"July 11, 2015",,,
14,7/12/2015,Calendar,date,,"July 12, 2015",,,
15,7/13/2015,Calendar,date,,"July 13, 2015",,,
16,7/14/2015,Calendar,date,,"July 14, 2015",,,
17,7/15/2015,Calendar,date,,"July 15, 2015",,,
18,7/16/2015,Calendar,date,,"July 16, 2015",,,
19,7/17/2015,Calendar,date,,"July 17, 2015",,,
20,7/18/2015,Calendar,date,,"July 18, 2015",,,
21,7/19/2015,Calendar,date,,"July 19, 2015",,,
22,7/20/2015,Calendar,date,,"July 20, 2015",,,
23,7/21/2015,Calendar,date,,"July 21, 2015",,,
24,7/22/2015,Calendar,date,,"July 22, 2015",,,
25,7/23/2015,Calendar,date,,"July 23, 2015",,,
26,7/24/2015,Calendar,date,,"July 24, 2015",,,
27,7/25/2015,Calendar,date,,"July 25, 2015",,,
28,7/26/2015,Calendar,date,,"July 26, 2015",,,
29,7/27/2015,Calendar,date,,"July 27, 2015",,,
30,7/28/2015,Calendar,date,,"July 28, 2015",,,
31,7/29/2015,Calendar,date,,"July 29, 2015",,,
32,7/30/2015,Calendar,date,,"July 30, 2015",,,
33,7/31/2015,Calendar,date,,"July 31, 2015",,,
34,8/1/2015,Calendar,date,,"August 1, 2015",,,
35,8/2/2015,Calendar,date,,"August 2, 2015",,,
36,8/3/2015,Calendar,date,,"August 3, 2015",,,
37,8/4/2015,Calendar,date,,"August 4, 2015",,,
38,8/5/2015,Calendar,date,,"August 5, 2015",,,
39,8/6/2015,Calendar,date,,"August 6, 2015",,,
40,8/7/2015,Calendar,date,,"August 7, 2015",,,
41,8/8/2015,Calendar,date,,"August 8, 2015",,,
42,8/9/2015,Calendar,date,,"August 9, 2015",,,
43,8/10/2015,Calendar,date,,"August 10, 2015",,,
44,8/11/2015,Calendar,date,,"August 11, 2015",,,
45,8/12/2015,Calendar,date,,"August 12, 2015",,,
46,8/13/2015,Calendar,date,,"August 13, 2015",,,
47,8/14/2015,Calendar,date,,"August 14, 2015",,,
48,8/15/2015,Calendar,date,,"August 15, 2015",,,
49,8/16/2015,Calendar,date,,"August 16, 2015",,,
50,8/17/2015,Calendar,date,,"August 17, 2015",,,
51,8/18/2015,Calendar,date,,"August 18, 2015",,,
52,8/19/2015,Calendar,date,,"August 19, 2015",,,
53,8/20/2015,Calendar,date,,"August 20, 2015",,,
